date_time,is_holiday,air_pollution_index,humidity,wind_speed,wind_direction,visibility_in_miles,dew_point,temperature,rain_p_h,snow_p_h,clouds_all,weather_type,weather_description,traffic_volume,last_1_hour_traffic,last_2_hour_traffic,last_3_hour_traffic,last_4_hour_traffic,last_5_hour_traffic,last_6_hour_traffic,hour,month_day,weekday,month,year
2012-10-08,1,144,45,9,300,5,5,273.08,0.0,0.0,20,Clouds,few clouds,455,959.0,1555.0,2110.0,2815.0,3382.0,4015.0,0,8,1,10,2012
2012-11-12,1,119,78,1,50,4,4,288.12,0.0,0.0,87,Clear,sky is clear,1000,2863.0,1924.0,2173.0,2660.0,3390.0,3390.0,0,12,1,11,2012
2012-11-22,1,242,78,4,320,2,2,278.54,0.0,0.0,20,Mist,mist,919,1399.0,1972.0,2432.0,2787.0,3267.0,4179.0,0,22,4,11,2012
2012-12-25,1,87,53,2,230,8,8,264.4,0.0,0.0,90,Clouds,overcast clouds,803,1542.0,2240.0,2463.0,2212.0,1972.0,2536.0,0,25,2,12,2012
2013-01-01,1,260,72,2,130,4,4,263.49,0.0,0.0,58,Clouds,broken clouds,1439,1596.0,2293.0,2588.0,2888.0,3294.0,3707.0,0,1,2,1,2013
2013-02-18,1,82,72,3,120,8,8,258.96,0.0,0.0,20,Clouds,few clouds,556,985.0,1672.0,2185.0,3369.0,4139.0,3830.0,0,18,1,2,2013
2013-05-27,1,153,88,3,154,8,8,286.37,0.0,0.0,90,Clouds,overcast clouds,863,1452.0,1895.0,2242.0,2310.0,2587.0,2912.0,0,27,1,5,2013
2013-07-04,1,236,94,2,176,9,9,290.08,0.0,0.0,1,Clear,sky is clear,1060,1754.0,2474.0,3077.0,3133.0,3539.0,4579.0,0,4,4,7,2013
2013-08-22,1,85,68,6,159,1,1,297.42,0.0,0.0,12,Clouds,few clouds,661,1202.0,1898.0,2876.0,3192.0,3666.0,4940.0,0,22,4,8,2013
2013-09-02,1,155,45,6,186,3,3,288.78,0.0,0.0,0,Clear,Sky is Clear,1041,1712.0,1321.0,2101.0,2546.0,3181.0,3458.0,0,2,1,9,2013
2013-10-14,1,201,93,1,90,4,4,277.72,0.0,0.0,0,Clear,Sky is Clear,615,1084.0,5353.0,4930.0,4521.0,4850.0,351.0,0,14,1,10,2013
2013-11-11,1,145,68,0,286,7,7,275.44,0.0,0.0,64,Clouds,broken clouds,514,925.0,1450.0,1895.0,2391.0,2844.0,3510.0,0,11,1,11,2013
2013-11-28,1,154,63,3,137,2,2,268.24,0.0,0.0,64,Clouds,broken clouds,929,1535.0,2889.0,3345.0,2786.0,3347.0,4399.0,0,28,4,11,2013
2013-12-25,1,14,91,1,270,6,6,260.17,0.25,0.0,64,Rain,light rain,712,1375.0,1375.0,2010.0,2010.0,2010.0,2221.0,0,25,3,12,2013
2014-01-01,1,192,91,2,280,2,2,250.14,0.0,0.0,90,Clouds,overcast clouds,1395,1457.0,2189.0,2711.0,3478.0,4504.0,3797.0,0,1,3,1,2014
2014-01-20,1,293,83,2,260,3,3,271.79,0.0,0.0,64,Clouds,broken clouds,480,1004.0,1499.0,2024.0,2504.0,3095.0,3752.0,0,20,1,1,2014
2014-02-17,1,269,53,6,300,1,1,267.44,0.0,0.0,90,Clouds,overcast clouds,583,978.0,1602.0,2072.0,2365.0,2826.0,3523.0,0,17,1,2,2014
2014-05-26,1,223,56,2,230,8,8,294.31,0.0,0.0,40,Clouds,scattered clouds,967,1575.0,2143.0,2401.0,2611.0,2661.0,2982.0,0,26,1,5,2014
2015-07-03,1,286,68,3,123,8,8,289.2,0.0,0.0,1,Clear,sky is clear,959,1657.0,2525.0,2997.0,2977.0,3532.0,3971.0,0,3,5,7,2015
2015-08-27,1,132,76,1,317,5,5,287.97,0.0,0.0,1,Clear,sky is clear,605,1074.0,1770.0,2812.0,3324.0,3556.0,4856.0,0,27,4,8,2015
2015-09-07,1,212,63,6,177,7,7,295.02,0.0,0.0,90,Clouds,overcast clouds,973,1473.0,2027.0,2725.0,2725.0,2725.0,3032.0,0,7,1,9,2015
2015-10-12,1,113,86,3,256,7,7,293.02,0.0,0.0,1,Clear,sky is clear,494,868.0,1363.0,2175.0,2446.0,2228.0,2474.0,0,12,1,10,2015
2015-11-11,1,131,74,1,170,6,6,283.35,0.0,0.0,75,Clouds,broken clouds,559,3119.0,2740.0,4646.0,6517.0,5142.0,5030.0,0,11,3,11,2015
2015-11-26,1,73,68,3,315,6,6,277.22,0.0,0.0,90,Mist,mist,833,2264.0,3419.0,4120.0,5966.0,5923.0,5551.0,0,26,4,11,2015
2015-11-26,1,229,65,3,313,1,1,277.22,0.0,0.0,90,Haze,haze,833,833.0,2264.0,3419.0,4120.0,5966.0,5923.0,0,26,4,11,2015
2015-12-25,1,13,94,3,78,5,5,269.09,0.0,0.0,90,Snow,light snow,894,1606.0,2741.0,2256.0,2134.0,4010.0,4812.0,0,25,5,12,2015
